F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
272,547,336,-159,794,504,1156,390,51,618,-987,838,516,267
271,547,335,-164,784,482,1136,388,51,641,-987,838,507,271
265,545,337,-160,821,478,1125,392,66,633,-986,840,508,271
269,542,338,-159,839,488,1115,395,81,643,-982,837,513,272
271,542,339,-163,819,492,1106,392,83,643,-978,840,514,279
267,542,338,-162,821,479,1102,388,84,616,-980,845,514,278
262,541,337,-161,840,469,1091,391,86,605,-985,842,514,277
265,545,340,-161,836,477,1091,394,81,611,-986,839,512,281
271,542,339,-162,824,488,1120,391,78,615,-982,840,514,277
269,537,331,-165,821,487,1149,391,74,618,-978,837,516,270
266,542,330,-162,816,485,1151,394,65,615,-981,835,510,271
269,545,337,-158,809,492,1151,392,68,610,-984,836,509,273
270,541,336,-165,812,498,1158,391,87,613,-977,838,516,271
263,540,331,-165,823,505,1154,394,101,637,-981,841,516,273
265,538,333,-160,842,503,1138,394,104,673,-994,842,511,275
268,535,335,-160,839,500,1131,391,121,682,-990,841,512,272
266,542,334,-161,823,502,1135,391,145,680,-982,842,515,271
266,545,334,-160,829,502,1128,395,132,680,-989,843,511,272
263,540,333,-161,838,497,1121,393,93,643,-987,841,510,271
262,539,331,-160,840,494,1134,392,78,624,-974,838,512,269
265,538,335,-157,858,494,1148,395,87,660,-977,839,513,275
270,538,335,-159,865,491,1139,393,81,666,-985,842,514,277
271,540,330,-163,843,488,1127,390,66,634,-980,840,514,270
265,541,333,-161,830,488,1133,393,69,640,-981,838,510,268
262,542,336,-159,823,486,1139,391,72,648,-987,841,510,270
265,543,332,-162,817,490,1147,388,88,631,-982,844,514,272
271,543,334,-160,838,510,1165,391,127,646,-977,842,516,272
269,541,335,-158,857,530,1171,391,153,689,-982,840,514,269
262,537,336,-162,845,519,1151,389,150,707,-985,843,513,271
258,537,336,-160,831,482,1131,390,145,716,-981,846,513,278
261,543,334,-159,832,463,1121,391,141,733,-980,844,514,278
267,541,335,-162,843,476,1113,390,124,713,-981,843,515,273
263,537,339,-161,866,477,1115,393,100,665,-980,841,518,275
259,544,338,-159,876,469,1125,393,82,657,-981,841,517,279
